18:54:42 loading pretrained, weights/198_efficientnet-b5_f1_test/ckpt20.pth ...
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:51 STREAM b'IHDR' 16 13
18:54:51 STREAM b'IDAT' 41 8192
18:54:52 STREAM b'IHDR' 16 13
18:54:52 STREAM b'IDAT' 41 8192
18:54:52 STREAM b'IHDR' 16 13
18:54:52 STREAM b'IDAT' 41 8192
18:54:52 STREAM b'IHDR' 16 13
18:54:52 STREAM b'IDAT' 41 8192
18:54:52 STREAM b'IHDR' 16 13
18:54:52 STREAM b'IDAT' 41 8192
18:54:52 STREAM b'IHDR' 16 13
18:54:52 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:53 STREAM b'IHDR' 16 13
18:54:53 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:54 STREAM b'IHDR' 16 13
18:54:54 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:55 STREAM b'IHDR' 16 13
18:54:55 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:56 STREAM b'IHDR' 16 13
18:54:56 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:57 STREAM b'IHDR' 16 13
18:54:57 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:58 STREAM b'IHDR' 16 13
18:54:58 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:54:59 STREAM b'IHDR' 16 13
18:54:59 STREAM b'IDAT' 41 8192
18:55:00 STREAM b'IHDR' 16 13
18:55:00 STREAM b'IDAT' 41 8192
18:55:00 STREAM b'IHDR' 16 13
18:55:00 STREAM b'IDAT' 41 8192
18:55:00 STREAM b'IHDR' 16 13
18:55:00 STREAM b'IDAT' 41 8192
18:55:00 STREAM b'IHDR' 16 13
18:55:00 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:01 STREAM b'IHDR' 16 13
18:55:01 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:02 STREAM b'IHDR' 16 13
18:55:02 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:03 STREAM b'IHDR' 16 13
18:55:03 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:04 STREAM b'IHDR' 16 13
18:55:04 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:05 STREAM b'IHDR' 16 13
18:55:05 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:06 STREAM b'IHDR' 16 13
18:55:06 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:07 STREAM b'IHDR' 16 13
18:55:07 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:08 STREAM b'IHDR' 16 13
18:55:08 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:09 STREAM b'IHDR' 16 13
18:55:09 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:10 STREAM b'IHDR' 16 13
18:55:10 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:11 STREAM b'IHDR' 16 13
18:55:11 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:12 STREAM b'IHDR' 16 13
18:55:12 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:13 STREAM b'IHDR' 16 13
18:55:13 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:14 STREAM b'IHDR' 16 13
18:55:14 STREAM b'IDAT' 41 8192
18:55:15 STREAM b'IHDR' 16 13
18:55:15 STREAM b'IDAT' 41 8192
18:55:15 STREAM b'IHDR' 16 13
18:55:15 STREAM b'IDAT' 41 8192
18:55:15 STREAM b'IHDR' 16 13
18:55:15 STREAM b'IDAT' 41 8192
18:55:15 STREAM b'IHDR' 16 13
18:55:15 STREAM b'IDAT' 41 8192
18:55:15 STREAM b'IHDR' 16 13
18:55:15 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:16 STREAM b'IHDR' 16 13
18:55:16 STREAM b'IDAT' 41 8192
18:55:17 STREAM b'IHDR' 16 13
18:55:17 STREAM b'IDAT' 41 8192
18:55:17 STREAM b'IHDR' 16 13
18:55:17 STREAM b'IDAT' 41 8192
18:55:17 STREAM b'IHDR' 16 13
18:55:17 STREAM b'IDAT' 41 8192
18:55:17 STREAM b'IHDR' 16 13
18:55:17 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
18:55:18 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
18:55:18 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
18:55:18 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
18:55:18 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
18:55:18 STREAM b'IDAT' 41 8192
18:55:18 STREAM b'IHDR' 16 13
